Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1116	215.553144	112.645455	364.000000	347.657576	230.151515	180.017247	107.515770	NA	NA	NA	-1.626574	-2.133244	-2.168688	-1.869842	0.213709	-1.514769	-1.148596	
NA	100	100000.00	100000.00	100000.00	1016	196.238346	127.550101	245.000000	343.662020	235.606061	184.565555	125.153164	NA	NA	NA	-1.192145	-0.768370	-1.112005	-1.887950	0.632616	-1.210824	-1.407103	
NA	100	100000.00	100000.00	100000.00	1239	239.310345	160.974747	352.000000	402.156566	281.565657	212.334173	157.076273	NA	NA	NA	-1.115654	-1.461179	-1.486022	-1.729128	0.557551	-0.979358	-1.276101	
NA	100	100000.00	100000.00	100000.00	1186	229.073502	118.417374	407.000000	405.905859	262.161616	186.480632	112.527932	NA	NA	NA	-1.646156	-2.408460	-2.344317	-2.152874	0.455977	-1.491735	-1.447266	
NA	100	100000.00	100000.00	100000.00	1252	241.821269	174.793939	329.000000	444.842424	309.818182	220.952020	171.646877	NA	NA	NA	-0.944721	-1.118841	-1.187254	-1.916054	0.887946	-0.839878	-1.574493	
NA	100	100000.00	100000.00	100000.00	1387	267.896246	196.055758	307.000000	425.035152	310.545455	258.535408	193.791589	NA	NA	NA	-0.914284	-0.453699	-0.771707	-1.467045	0.503027	-0.942970	-1.100633	
NA	100	100000.00	100000.00	100000.00	1038	200.487601	160.748283	165.000000	290.564848	225.656566	208.982788	160.661513	NA	NA	NA	-0.675148	0.547573	-0.039411	-1.110144	0.395940	-0.870106	-0.841651	
NA	100	100000.00	100000.00	100000.00	1167	225.403691	165.502020	283.000000	398.639394	282.070707	211.616019	163.104102	NA	NA	NA	-0.905576	-0.792119	-0.969893	-1.774177	0.793543	-0.862705	-1.440778	
NA	100	100000.00	100000.00	100000.00	1069	206.475189	123.894949	300.000000	413.882828	268.888889	184.086786	120.300969	NA	NA	NA	-1.362453	-1.402002	-1.585543	-2.408261	0.953577	-1.303323	-1.882107	
NA	100	100000.00	100000.00	100000.00	1238	239.117197	165.835354	334.000000	374.548485	270.191919	216.403712	162.403422	NA	NA	NA	-1.044519	-1.231266	-1.309232	-1.497552	0.410354	-0.939129	-1.062124	
NA	100	100000.00	100000.00	100000.00	1276	246.456820	157.243232	306.000000	469.544646	313.393939	232.203098	154.207380	NA	NA	NA	-1.233849	-0.750018	-1.123946	-2.174319	0.857763	-1.264418	-1.697749	
NA	100	100000.00	100000.00	100000.00	1253	242.014417	156.438788	376.000000	468.369293	312.404040	209.940327	151.957947	NA	NA	NA	-1.205191	-1.718203	-1.689095	-2.211457	0.918462	-1.039324	-1.754060	
NA	100	100000.00	100000.00	100000.00	1149	221.927027	161.949697	338.000000	379.929091	270.939394	194.140940	158.356834	NA	NA	NA	-0.920876	-1.620927	-1.475761	-1.684709	0.697032	-0.693438	-1.334546	
NA	100	100000.00	100000.00	100000.00	1474	284.700120	236.037576	370.000000	397.093737	316.565657	264.280639	233.303649	NA	NA	NA	-0.582852	-0.932054	-0.877236	-0.971152	0.353770	-0.441386	-0.740979	
NA	100	100000.00	100000.00	100000.00	1205	232.743314	145.090505	318.000000	368.768081	256.929293	212.334173	141.561740	NA	NA	NA	-1.283458	-1.136156	-1.382697	-1.648711	0.328077	-1.254329	-1.095827	
NA	100	100000.00	100000.00	100000.00	1027	198.362974	120.323434	310.000000	376.343232	248.333333	171.638785	116.452484	NA	NA	NA	-1.339993	-1.740656	-1.776814	-2.212735	0.794457	-1.209062	-1.680680	
NA	100	100000.00	100000.00	100000.00	1106	213.621664	120.358788	308.000000	398.307879	259.333333	191.028940	116.529375	NA	NA	NA	-1.487408	-1.368303	-1.633460	-2.231378	0.675193	-1.467115	-1.620203	
NA	100	100000.00	100000.00	100000.00	880	169.970221	92.596566	297.000000	344.756970	218.676768	139.561243	88.425067	NA	NA	NA	-1.549502	-2.304225	-2.230588	-2.541564	0.902612	-1.376561	-1.924098	
NA	100	100000.00	100000.00	100000.00	1272	245.684228	177.117576	331.000000	369.912727	273.515152	225.260943	173.977118	NA	NA	NA	-0.951269	-1.077982	-1.166297	-1.346493	0.357753	-0.856925	-0.948364	
NA	100	100000.00	100000.00	100000.00	1179	227.721466	155.724646	267.000000	437.628889	296.676768	218.318789	153.453721	NA	NA	NA	-1.077386	-0.534789	-0.909268	-2.123542	0.955858	-1.118216	-1.728107	
NA	100	100000.00	100000.00	100000.00	1099	212.269628	135.056162	309.000000	357.751919	246.404040	189.113863	131.506287	NA	NA	NA	-1.239259	-1.411176	-1.523768	-1.799144	0.507378	-1.145909	-1.284356	
NA	100	100000.00	100000.00	100000.00	1399	270.214022	172.995152	405.000000	433.388687	303.191919	237.948329	168.260359	NA	NA	NA	-1.226681	-1.550622	-1.600049	-1.654048	0.385640	-1.102540	-1.133153	
NA	100	100000.00	100000.00	100000.00	979	189.091871	102.016768	233.000000	414.932727	258.474747	178.580939	99.343640	NA	NA	NA	-1.568152	-0.717519	-1.286474	-2.836465	1.156755	-1.668764	-2.236463	
NA	100	100000.00	100000.00	100000.00	1176	227.142022	143.032525	296.000000	317.230101	230.131313	210.658480	139.910740	NA	NA	NA	-1.261844	-0.939873	-1.253106	-1.315539	0.041543	-1.263832	-0.743550	
NA	100	100000.00	100000.00	100000.00	1165	225.017395	147.570707	256.000000	420.489899	284.030303	217.600635	145.357864	NA	NA	NA	-1.172820	-0.426821	-0.896557	-2.080469	0.827803	-1.249498	-1.628493	
NA	100	100000.00	100000.00	100000.00	1223	236.219977	122.685859	266.000000	483.677778	303.181818	229.091097	119.761080	NA	NA	NA	-1.638037	-0.391110	-1.129320	-2.621828	0.895036	-1.796394	-1.964364	
NA	100	100000.00	100000.00	100000.00	1164	224.824247	98.943636	391.000000	458.611919	278.777778	185.044324	92.983302	NA	NA	NA	-1.907915	-2.291198	-2.416947	-2.744105	0.757479	-1.871367	-1.949363	
NA	100	100000.00	100000.00	100000.00	1079	208.406668	122.540808	252.000000	437.236970	279.888889	197.971095	119.898784	NA	NA	NA	-1.403580	-0.647547	-1.154881	-2.589336	1.082078	-1.483747	-2.057382	
NA	100	100000.00	100000.00	100000.00	1254	242.207565	170.329899	369.000000	413.124646	291.727273	211.855404	166.275407	NA	NA	NA	-1.011474	-1.624684	-1.527171	-1.719945	0.645634	-0.809652	-1.323413	
NA	100	100000.00	100000.00	100000.00	1270	245.297932	154.389697	355.000000	422.681010	288.535354	219.036943	150.295609	NA	NA	NA	-1.263208	-1.388257	-1.522828	-1.876703	0.556666	-1.181166	-1.356269	
NA	100	100000.00	100000.00	100000.00	1250	241.434973	159.607071	275.000000	382.150505	270.878788	233.400021	157.252113	NA	NA	NA	-1.155168	-0.431448	-0.889835	-1.581513	0.385107	-1.228151	-1.093030	
NA	100	100000.00	100000.00	100000.00	1302	251.478668	177.777172	319.000000	345.758182	261.767677	235.315098	174.895073	NA	NA	NA	-0.999018	-0.833785	-1.045898	-1.146252	0.129230	-0.966576	-0.703236	
NA	100	100000.00	100000.00	100000.00	1171	226.176282	129.208687	312.000000	408.952929	269.080808	205.631403	125.478252	NA	NA	NA	-1.460937	-1.176365	-1.503755	-2.121612	0.598779	-1.466737	-1.514967	
NA	100	100000.00	100000.00	100000.00	1149	221.927027	134.451919	338.000000	348.800606	241.626263	194.140940	130.297877	NA	NA	NA	-1.343069	-1.620927	-1.706264	-1.656648	0.280154	-1.237176	-1.071623	
NA	100	100000.00	100000.00	100000.00	1222	236.026829	151.153131	251.000000	403.957980	277.555556	232.442482	149.115440	NA	NA	NA	-1.225531	-0.196806	-0.787435	-1.837579	0.555539	-1.349459	-1.334152	
NA	100	100000.00	100000.00	100000.00	906	174.992068	101.823838	241.000000	267.226667	184.525253	159.190783	98.983509	NA	NA	NA	-1.423415	-1.163710	-1.475733	-1.619517	0.171638	-1.421763	-0.986424	
NA	100	100000.00	100000.00	100000.00	1040	200.873897	116.274545	286.000000	394.977980	255.626263	180.496016	112.810761	NA	NA	NA	-1.434540	-1.311015	-1.570259	-2.378807	0.859681	-1.410408	-1.810177	
NA	100	100000.00	100000.00	100000.00	1209	233.515906	171.613939	294.000000	411.598182	291.606061	219.036943	169.116265	NA	NA	NA	-0.903412	-0.803406	-0.975471	-1.763076	0.785389	-0.857775	-1.429926	
NA	100	100000.00	100000.00	100000.00	1239	239.310345	174.478990	301.000000	459.601818	317.040404	224.542789	171.896928	NA	NA	NA	-0.923327	-0.799893	-0.984231	-2.044159	1.025633	-0.882488	-1.726256	
NA	100	100000.00	100000.00	100000.00	1333	257.466255	162.470505	308.000000	501.630505	332.050505	245.369253	159.500515	NA	NA	NA	-1.257803	-0.609716	-1.052938	-2.260687	0.915120	-1.317566	-1.779099	
NA	100	100000.00	100000.00	100000.00	1421	274.463277	219.475556	340.000000	421.049697	320.262626	258.774792	217.015873	NA	NA	NA	-0.683108	-0.742445	-0.818444	-1.260661	0.527326	-0.607642	-1.002273	
NA	100	100000.00	100000.00	100000.00	1033	199.521861	181.769899	260.000000	383.422020	282.595960	185.044324	180.173366	NA	NA	NA	-0.303050	-0.937608	-0.728618	-1.732766	1.313143	-0.099014	-1.726562	
NA	100	100000.00	100000.00	100000.00	1316	254.182739	124.287475	372.000000	449.672121	286.979798	225.979097	119.232117	NA	NA	NA	-1.742046	-1.439616	-1.815211	-2.196788	0.407576	-1.778033	-1.442735	
NA	100	100000.00	100000.00	100000.00	1220	235.640533	141.487273	278.000000	440.815758	291.151515	225.500328	138.701299	NA	NA	NA	-1.361745	-0.557666	-1.078346	-2.179302	0.743793	-1.448829	-1.632700	
NA	100	100000.00	100000.00	100000.00	1229	237.378865	141.366667	334.000000	454.289899	297.828283	214.249250	137.435374	NA	NA	NA	-1.378494	-1.262859	-1.510614	-2.261658	0.804068	-1.349274	-1.713519	
NA	100	100000.00	100000.00	100000.00	1236	238.730901	153.456364	384.000000	359.816364	256.636364	203.955711	148.751391	NA	NA	NA	-1.217417	-1.888116	-1.797756	-1.483055	0.236829	-1.018465	-0.951144	
NA	100	100000.00	100000.00	100000.00	1330	256.886811	153.786869	357.000000	389.546465	271.666667	232.921252	149.639662	NA	NA	NA	-1.368178	-1.210603	-1.473581	-1.574999	0.181750	-1.345959	-0.968792	
NA	100	100000.00	100000.00	100000.00	1163	224.631099	152.004848	286.000000	409.045657	280.525253	209.940327	149.270254	NA	NA	NA	-1.101706	-0.846857	-1.109837	-1.962784	0.785395	-1.087501	-1.538996	
NA	100	100000.00	100000.00	100000.00	1337	258.238847	198.768889	358.000000	370.928081	284.848485	234.357559	195.519274	NA	NA	NA	-0.785070	-1.200123	-1.148655	-1.144114	0.325519	-0.623851	-0.818664	
NA	100	100000.00	100000.00	100000.00	1244	240.276085	134.727677	464.000000	391.292525	263.010101	186.720017	128.007833	NA	NA	NA	-1.497195	-2.889418	-2.551269	-1.832049	0.298773	-1.182799	-1.178670	
NA	100	100000.00	100000.00	100000.00	1264	244.139044	136.909697	375.000000	395.150909	266.030303	212.812942	132.050711	NA	NA	NA	-1.497047	-1.663757	-1.815841	-1.814947	0.283172	-1.428172	-1.160086	
NA	100	100000.00	100000.00	100000.00	1207	233.129610	147.220404	398.000000	325.123030	236.171717	193.662171	142.102453	NA	NA	NA	-1.255850	-2.193531	-2.002105	-1.309142	0.041198	-1.001606	-0.739886	
NA	100	100000.00	100000.00	100000.00	1373	265.192174	198.567071	355.000000	460.200606	329.383838	243.693560	195.374562	NA	NA	NA	-0.856531	-1.052463	-1.099122	-1.693292	0.764788	-0.746488	-1.379736	
NA	100	100000.00	100000.00	100000.00	1209	233.515906	151.212929	335.000000	420.100202	285.656566	209.222173	147.462173	NA	NA	NA	-1.201149	-1.348006	-1.464864	-1.975415	0.704951	-1.110825	-1.498194	
NA	100	100000.00	100000.00	100000.00	1187	229.266650	131.082828	371.000000	376.593939	253.838384	195.337864	126.186559	NA	NA	NA	-1.459388	-1.916950	-1.947354	-1.836981	0.338332	-1.331859	-1.204775	
