Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	710	137.135065	72.390909	245.000000	370.982828	221.686869	111.313856	68.868275	NA	NA	NA	-1.605322	-2.412384	-2.327623	-3.725573	1.938091	-1.430779	-3.184724	
NA	100	100000.00	100000.00	100000.00	620	119.751746	36.874949	192.000000	309.246263	173.060606	102.456625	33.709132	NA	NA	NA	-2.351338	-1.843165	-2.390126	-3.888152	1.397183	-2.516372	-2.951205	
NA	100	100000.00	100000.00	100000.00	525	101.402689	31.669697	236.000000	282.451515	157.060606	69.182160	27.499691	NA	NA	NA	-2.333777	-4.032807	-3.706102	-4.222218	1.718973	-2.252289	-3.323331	
NA	100	100000.00	100000.00	100000.00	643	124.194150	94.753131	173.000000	291.953939	193.353535	112.510779	93.156256	NA	NA	NA	-0.805589	-1.201895	-1.163220	-2.715089	1.748530	-0.645515	-2.520236	
NA	100	100000.00	100000.00	100000.00	693	133.851549	69.249495	204.000000	331.740404	200.494949	117.059087	66.499485	NA	NA	NA	-1.640871	-1.606282	-1.860969	-3.354956	1.564664	-1.621136	-2.760470	
NA	100	100000.00	100000.00	100000.00	621	119.944894	48.607273	211.000000	354.907879	201.757576	98.147701	45.293135	NA	NA	NA	-2.020716	-2.319331	-2.498146	-4.365509	2.140835	-2.018984	-3.653506	
NA	100	100000.00	100000.00	100000.00	614	118.592859	33.927273	220.000000	360.739394	197.333333	94.317547	30.129870	NA	NA	NA	-2.425413	-2.611551	-2.894475	-4.710560	2.083648	-2.550742	-3.807658	
NA	100	100000.00	100000.00	100000.00	630	121.683226	38.444646	184.000000	383.636162	211.040404	106.765548	35.474129	NA	NA	NA	-2.324348	-1.565325	-2.207701	-4.850015	2.305248	-2.504849	-4.015619	
NA	100	100000.00	100000.00	100000.00	418	80.735855	19.675758	129.000000	247.172727	133.424242	69.182160	17.444651	NA	NA	NA	-2.561769	-1.799825	-2.477348	-4.800152	2.036440	-2.795607	-3.824599	
NA	100	100000.00	100000.00	100000.00	616	118.979155	45.304040	183.000000	319.807071	182.555556	103.653548	42.493919	NA	NA	NA	-2.103760	-1.643549	-2.135114	-3.943842	1.676977	-2.212953	-3.147799	
