Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1345	259.784031	278.834141	224.000000	219.206263	249.020202	268.350178	279.953206	NA	NA	NA	0.249991	0.427957	0.393227	0.393918	-0.130896	0.162829	0.293045	
NA	100	100000.00	100000.00	100000.00	1499	289.528819	275.287273	326.000000	244.470303	259.878788	280.798179	274.252319	NA	NA	NA	-0.167740	-0.391954	-0.326589	0.182733	-0.323711	-0.087798	0.292126	
NA	100	100000.00	100000.00	100000.00	1501	289.915115	290.768485	228.000000	304.463838	297.616162	304.736643	292.049474	NA	NA	NA	0.010038	0.664524	0.403693	-0.081101	0.083967	-0.156832	-0.094198	
NA	100	100000.00	100000.00	100000.00	1394	269.248282	245.485657	265.000000	275.888081	260.686869	270.265255	245.087405	NA	NA	NA	-0.300903	0.049046	-0.135062	-0.193810	-0.100474	-0.350831	-0.046274	
NA	100	100000.00	100000.00	100000.00	1634	315.603796	303.900606	358.000000	251.048889	277.474747	305.454797	302.796537	NA	NA	NA	-0.126481	-0.418442	-0.319812	0.287571	-0.382049	-0.032783	0.384094	
NA	100	100000.00	100000.00	100000.00	1389	268.282542	279.568485	276.000000	240.552727	260.060606	266.435101	279.641311	NA	NA	NA	0.143425	-0.089414	0.024786	0.249611	-0.096835	0.186655	0.193947	
NA	100	100000.00	100000.00	100000.00	1407	271.759205	268.525657	320.000000	286.666263	277.595960	260.211100	267.475160	NA	NA	NA	-0.040569	-0.551867	-0.352997	-0.114578	0.067868	0.105119	-0.102935	
NA	100	100000.00	100000.00	100000.00	1617	312.320281	293.509697	292.000000	278.510505	286.010101	317.184644	293.540507	NA	NA	NA	-0.205426	0.202640	0.009018	0.082468	-0.266384	-0.280831	0.203270	
NA	100	100000.00	100000.00	100000.00	1792	346.121177	321.532929	343.000000	293.416566	307.474747	346.868339	321.094826	NA	NA	NA	-0.242357	0.028119	-0.115785	0.139529	-0.353236	-0.279978	0.286043	
NA	100	100000.00	100000.00	100000.00	1562	301.697142	281.841414	363.000000	260.077778	270.959596	287.022180	280.185116	NA	NA	NA	-0.224456	-0.632583	-0.501730	0.123861	-0.322115	-0.089720	0.258994	
NA	100	100000.00	100000.00	100000.00	1564	302.083438	290.173535	341.000000	290.897172	290.535354	292.767411	289.136261	NA	NA	NA	-0.134462	-0.401072	-0.313815	-0.004113	-0.120864	-0.046717	0.069523	
NA	100	100000.00	100000.00	100000.00	1786	344.962289	324.852121	392.000000	267.067071	295.959596	333.702184	323.481756	NA	NA	NA	-0.198883	-0.425180	-0.363379	0.287723	-0.449392	-0.115396	0.424175	
NA	100	100000.00	100000.00	100000.00	1525	294.550667	297.278384	285.000000	236.580202	266.929293	296.836950	297.528963	NA	NA	NA	0.031581	0.100913	0.077734	0.353800	-0.296447	0.008781	0.369459	
NA	100	100000.00	100000.00	100000.00	1486	287.017896	291.432525	317.000000	259.011919	275.222222	279.840640	290.910740	NA	NA	NA	0.052450	-0.324998	-0.166084	0.193919	-0.129903	0.148987	0.183151	
NA	100	100000.00	100000.00	100000.00	1415	273.304389	243.257980	328.000000	211.711717	227.484848	260.211100	241.528551	NA	NA	NA	-0.374842	-0.622220	-0.577877	0.198127	-0.529783	-0.270357	0.422912	
NA	100	100000.00	100000.00	100000.00	1681	324.681751	274.835758	436.000000	304.214747	289.525253	298.033873	271.546691	NA	NA	NA	-0.523680	-1.068331	-0.926273	-0.155396	-0.342460	-0.334768	0.118385	
NA	100	100000.00	100000.00	100000.00	1351	260.942919	232.259394	319.000000	190.326465	211.292929	247.044945	230.489177	NA	NA	NA	-0.374742	-0.691292	-0.619295	0.275794	-0.601115	-0.252313	0.507725	
NA	100	100000.00	100000.00	100000.00	1786	344.962289	334.740202	308.000000	284.532525	309.636364	353.810493	335.285920	NA	NA	NA	-0.101093	0.334107	0.144708	0.249994	-0.323966	-0.197292	0.329067	
NA	100	100000.00	100000.00	100000.00	1537	296.868443	318.653737	247.000000	279.689697	299.171717	308.806182	320.116059	NA	NA	NA	0.250264	0.522854	0.450123	0.225347	0.024528	0.137969	0.108633	
NA	100	100000.00	100000.00	100000.00	1697	327.772119	311.824242	408.000000	262.802020	287.313131	308.566797	309.861472	NA	NA	NA	-0.165972	-0.762779	-0.547582	0.256859	-0.390412	0.015806	0.372271	
NA	100	100000.00	100000.00	100000.00	1678	324.102307	293.861414	368.000000	289.532525	291.696970	313.593874	292.348382	NA	NA	NA	-0.318276	-0.422034	-0.426860	0.022938	-0.316223	-0.255225	0.200315	
NA	100	100000.00	100000.00	100000.00	1585	306.139545	297.586465	279.000000	291.524646	294.555556	312.636336	297.965780	NA	NA	NA	-0.095287	0.276039	0.113248	0.034000	-0.119642	-0.176778	0.089633	
NA	100	100000.00	100000.00	100000.00	1570	303.242326	289.095758	285.000000	275.389091	282.242424	307.609258	289.179344	NA	NA	NA	-0.159105	0.187295	0.025192	0.077611	-0.218953	-0.225699	0.172449	
NA	100	100000.00	100000.00	100000.00	1638	316.376388	324.108485	406.000000	264.154141	294.131313	294.921873	322.437229	NA	NA	NA	0.083360	-0.882433	-0.482933	0.325423	-0.222352	0.351424	0.309960	
