Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1258	242.980157	216.002424	263.000000	299.997576	258.000000	238.187714	215.043290	NA	NA	NA	-0.378431	-0.255726	-0.360130	-0.593132	0.195209	-0.365803	-0.440090	
NA	100	100000.00	100000.00	100000.00	1438	277.746793	282.603434	252.000000	259.679394	271.141414	283.910179	283.227994	NA	NA	NA	0.059622	0.288276	0.205381	0.141679	-0.075159	-0.009050	0.122081	
NA	100	100000.00	100000.00	100000.00	1390	268.475690	266.823434	284.000000	265.136162	265.979798	264.759408	266.472892	NA	NA	NA	-0.020982	-0.179737	-0.119221	0.010787	-0.029375	0.024371	0.023340	
NA	100	100000.00	100000.00	100000.00	1375	265.578470	254.032929	281.000000	273.744848	263.888889	261.886793	253.482581	NA	NA	NA	-0.148214	-0.180467	-0.189201	-0.127391	-0.020101	-0.120842	-0.057696	
NA	100	100000.00	100000.00	100000.00	1490	287.790488	306.827273	244.000000	297.920202	302.373737	298.273258	308.109462	NA	NA	NA	0.225570	0.473420	0.407032	0.053134	0.160173	0.124219	-0.066069	
NA	100	100000.00	100000.00	100000.00	1328	256.500515	287.030505	199.000000	234.807879	260.919192	270.265255	288.827046	NA	NA	NA	0.405754	0.696347	0.639298	0.349399	0.054418	0.258642	0.158655	
NA	100	100000.00	100000.00	100000.00	1364	263.453842	253.269697	256.000000	312.003030	282.636364	265.238178	253.213976	NA	NA	NA	-0.131789	0.087920	-0.019309	-0.382622	0.230043	-0.170714	-0.345753	
NA	100	100000.00	100000.00	100000.00	1301	251.285520	259.447475	229.000000	221.825253	240.636364	256.620331	260.068852	NA	NA	NA	0.110719	0.275400	0.225666	0.256919	-0.133856	0.050600	0.219914	
NA	100	100000.00	100000.00	100000.00	1237	238.924049	225.137576	220.000000	265.428081	245.282828	243.454176	225.242424	NA	NA	NA	-0.196663	0.245767	0.040030	-0.289324	0.084038	-0.281632	-0.208026	
NA	100	100000.00	100000.00	100000.00	1484	286.631600	300.135556	236.000000	279.440202	289.787879	298.752027	301.444444	NA	NA	NA	0.160656	0.549563	0.417175	0.123953	0.034806	0.033947	0.047093	
NA	100	100000.00	100000.00	100000.00	1536	296.675295	298.532121	255.000000	281.104242	289.818182	306.651720	299.420532	NA	NA	NA	0.021345	0.437233	0.273642	0.100859	-0.073070	-0.088831	0.098530	
NA	100	100000.00	100000.00	100000.00	1660	320.625644	354.939394	275.000000	332.939394	343.939394	331.547722	356.570810	NA	NA	NA	0.365049	0.443347	0.465215	0.117834	0.229959	0.284361	-0.072123	
NA	100	100000.00	100000.00	100000.00	1241	239.696641	226.976566	231.000000	269.427475	248.202020	241.778483	226.894455	NA	NA	NA	-0.180868	0.112585	-0.031249	-0.303859	0.112047	-0.231762	-0.232604	
NA	100	100000.00	100000.00	100000.00	1354	261.522363	246.231717	243.000000	234.232929	240.232323	265.956332	246.297671	NA	NA	NA	-0.199327	0.220066	0.023023	0.078742	-0.257192	-0.278353	0.195776	
NA	100	100000.00	100000.00	100000.00	1298	250.706076	239.863434	201.000000	262.964848	251.414141	262.604947	240.656566	NA	NA	NA	-0.147423	0.615656	0.288702	-0.158121	0.008921	-0.314729	-0.091719	
NA	100	100000.00	100000.00	100000.00	1304	251.864964	249.132727	233.000000	238.887475	244.010101	256.380946	249.461967	NA	NA	NA	-0.036979	0.232601	0.119297	0.069804	-0.098507	-0.101617	0.096652	
NA	100	100000.00	100000.00	100000.00	1493	288.369931	300.057778	232.000000	258.204848	279.131313	301.864027	301.446712	NA	NA	NA	0.138213	0.608208	0.440039	0.249167	-0.101268	-0.005208	0.196351	
NA	100	100000.00	100000.00	100000.00	1596	308.264173	310.249899	279.000000	337.972323	324.111111	315.269567	310.887652	NA	NA	NA	0.021970	0.295623	0.189103	-0.154422	0.162547	-0.052361	-0.180950	
NA	100	100000.00	100000.00	100000.00	1378	266.157914	262.028485	250.000000	246.314949	254.171717	270.025870	262.273964	NA	NA	NA	-0.052896	0.188678	0.084210	0.101330	-0.142290	-0.108112	0.139887	
NA	100	100000.00	100000.00	100000.00	1401	270.600317	342.064646	240.000000	269.935354	306.000000	277.925563	344.147598	NA	NA	NA	0.900434	0.351541	0.702904	0.457521	0.413373	0.897376	0.004611	
NA	100	100000.00	100000.00	100000.00	1308	252.637556	260.713535	195.000000	274.074343	267.393939	266.435101	262.054628	NA	NA	NA	0.108969	0.708519	0.484462	-0.090753	0.184496	-0.061913	-0.159169	
NA	100	100000.00	100000.00	100000.00	1442	278.519385	272.906263	277.000000	305.720000	289.313131	278.883102	272.822717	NA	NA	NA	-0.068719	0.016965	-0.027398	-0.202241	0.122477	-0.081843	-0.183287	
NA	100	100000.00	100000.00	100000.00	1431	276.394757	283.581818	277.000000	261.064646	272.323232	276.249871	283.716141	NA	NA	NA	0.088662	-0.006809	0.044385	0.139843	-0.046553	0.101788	0.104089	
NA	100	100000.00	100000.00	100000.00	1379	266.351062	262.027879	246.000000	265.002424	263.515152	271.222794	262.354978	NA	NA	NA	-0.055338	0.237472	0.112128	-0.019168	-0.033641	-0.123130	0.009501	
NA	100	100000.00	100000.00	100000.00	1338	258.431995	252.444848	264.000000	268.524848	260.484848	257.099100	252.209029	NA	NA	NA	-0.078978	-0.066934	-0.083294	-0.106783	0.025094	-0.071619	-0.073268	
NA	100	100000.00	100000.00	100000.00	1387	267.896246	253.654141	287.000000	292.527677	273.090909	263.323101	252.973614	NA	NA	NA	-0.181253	-0.221650	-0.231947	-0.249058	0.061269	-0.148003	-0.172524	
NA	100	100000.00	100000.00	100000.00	1378	266.157914	237.848687	268.000000	248.474545	243.161616	265.716947	237.233354	NA	NA	NA	-0.362626	-0.021510	-0.211085	-0.068522	-0.272992	-0.403670	0.124663	
NA	100	100000.00	100000.00	100000.00	1364	263.453842	283.447071	264.000000	255.441818	269.444444	263.323101	283.843950	NA	NA	NA	0.258724	-0.006442	0.137532	0.182442	0.071841	0.293459	0.057059	
NA	100	100000.00	100000.00	100000.00	1366	263.840138	266.570303	260.000000	246.702424	256.636364	264.759408	266.704391	NA	NA	NA	0.035278	0.045230	0.046399	0.129242	-0.086264	0.027664	0.121872	
NA	100	100000.00	100000.00	100000.00	1594	307.877877	344.291717	280.000000	270.859798	307.575758	314.551413	345.603793	NA	NA	NA	0.403391	0.281968	0.389535	0.409548	-0.003103	0.371903	0.225756	
